05/29/09 01:34:19 classRpmEngine failed to add to transaction  /var/cache/axtu/updates-released/packages/glibc-2.5-34.1AXS3.i686.rpm
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.3.4)(64bit) is needed by cdrecord-2.01-10.7AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.4)(64bit) is needed by cdrecord-2.01-10.7AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6()(64bit) is needed by checkpolicy-1.33.1-4AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.2.5)(64bit) is needed by checkpolicy-1.33.1-4AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.3)(64bit) is needed by checkpolicy-1.33.1-4AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.3.4)(64bit) is needed by checkpolicy-1.33.1-4AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.4)(64bit) is needed by checkpolicy-1.33.1-4AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6()(64bit) is needed by chkconfig-1.3.30.1-2.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.2.5)(64bit) is needed by chkconfig-1.3.30.1-2.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.3)(64bit) is needed by chkconfig-1.3.30.1-2.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.3.4)(64bit) is needed by chkconfig-1.3.30.1-2.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.4)(64bit) is needed by chkconfig-1.3.30.1-2.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6()(64bit) is needed by compat-openldap-2.3.43_2.2.29-3.1AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.2.5)(64bit) is needed by compat-openldap-2.3.43_2.2.29-3.1AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.3)(64bit) is needed by compat-openldap-2.3.43_2.2.29-3.1AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.3.2)(64bit) is needed by compat-openldap-2.3.43_2.2.29-3.1AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.3.4)(64bit) is needed by compat-openldap-2.3.43_2.2.29-3.1AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.4)(64bit) is needed by compat-openldap-2.3.43_2.2.29-3.1AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libresolv.so.2()(64bit) is needed by compat-openldap-2.3.43_2.2.29-3.1AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libresolv.so.2(GLIBC_2.2.5)(64bit) is needed by compat-openldap-2.3.43_2.2.29-3.1AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6()(64bit) is needed by coreutils-5.97-19AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.2.5)(64bit) is needed by coreutils-5.97-19AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.3)(64bit) is needed by coreutils-5.97-19AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.3.4)(64bit) is needed by coreutils-5.97-19AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.4)(64bit) is needed by coreutils-5.97-19AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libcrypt.so.1()(64bit) is needed by coreutils-5.97-19AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libdl.so.2()(64bit) is needed by coreutils-5.97-19AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libm.so.6()(64bit) is needed by coreutils-5.97-19AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libm.so.6(GLIBC_2.2.5)(64bit) is needed by coreutils-5.97-19AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	librt.so.1()(64bit) is needed by coreutils-5.97-19AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	librt.so.1(GLIBC_2.2.5)(64bit) is needed by coreutils-5.97-19AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6()(64bit) is needed by cpp-4.1.2-44.1.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.2.5)(64bit) is needed by cpp-4.1.2-44.1.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.3)(64bit) is needed by cpp-4.1.2-44.1.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.4)(64bit) is needed by cpp-4.1.2-44.1.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6()(64bit) is needed by cpuspeed-1.2.1-5AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6(GLIBC_2.2.5)(64bit) is needed by cpuspeed-1.2.1-5AXS3.x86_64
05/29/09 01:34:19 classRpmEngine 	libc.so.6()(64bit) is needed by crash-4.0-7.2.3.1AXS3.x86_64
